TIME,Mills,Ax,Ay,Az,Gx,Gy,Gz,Lat,Lon,Speed
19-02-2019 6.28,1.55E+12,0.1083374,4.153122,11.339203,-0.21508789,0.12110901,-0.12582397,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,3.1082764,7.584015,3.505371,0.072525024,-0.008865356,-0.06616211,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,-0.641037,6.0062256,3.7328339,-0.15756226,0.20632935,-0.13008118,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,2.1170807,5.141922,11.023178,-0.23001099,-0.119644165,-0.090667725,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,0.1777649,4.2464905,12.220276,-0.06808472,0.07849121,-0.060836792,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,1.4897919,7.351776,3.7950745,0.22592163,-0.004592896,-0.003311157,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,0.20649719,5.386139,4.187729,-0.14051819,0.059310913,-0.016098022,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,1.477829,3.4635925,13.000778,-0.1330719,-0.096206665,0.00201416,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,0.43634033,1.2657166,15.038254,-0.0861969,0.035888672,0.007339478,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,-0.37528992,9.360504,4.2571564,0.5774689,0.09234619,0.042495728,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,1.6980896,6.6502686,10.398285,-0.169281,-0.19847107,0.042495728,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,-2.5396423,6.4826813,7.721573,0.26960754,-0.004592896,-0.03314209,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,2.2200317,1.1675568,14.880234,-0.27368164,-0.39341736,0.092559814,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,-2.5372467,8.11792,2.0784302,0.45069885,0.040145874,0.055282593,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,0.2519989,4.624771,9.988876,-0.27900696,-0.3540039,0.106414795,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,-1.0744019,5.228119,11.774948,0.048034668,-0.21446228,0.082977295,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,1.1929169,7.002228,5.954651,0.32180786,-0.1494751,0.12878418,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,-1.490982,7.655838,10.015213,0.19929504,-0.018447876,0.08509827,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,3.280655,8.297485,9.325684,0.15988159,-0.3529358,0.17671204,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,-2.4558563,6.643097,4.2380066,0.05229187,0.09660339,0.059539795,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,1.9830017,7.212906,7.355255,-0.008422852,-0.34121704,0.16394043,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,-2.300232,7.8713226,2.9642944,0.007553101,-0.08023071,0.07765198,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,-0.715271,4.8043365,11.612152,-0.44198608,-0.26239014,0.18737793,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,3.1130676,10.782669,3.2372284,-0.27793884,-0.25813293,0.2598114,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,-2.6737213,11.287842,-3.6652527,0.001159668,0.39593506,0.057403564,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,6.091446,5.062912,15.047821,-0.75730896,-0.26559448,0.17245483,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,0.4339447,7.6223145,6.093506,0.1918335,0.4310913,-0.09918213,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,3.328537,6.3414154,10.280975,-0.2896576,0.12750244,-0.08001709,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,3.0220795,9.707672,5.3489075,0.2664032,0.11683655,0.03717041,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,2.3445282,6.980667,4.2380066,-0.17460632,0.29794312,-0.005447388,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,1.4131775,5.050949,6.828537,-0.27261353,0.07316589,0.052078247,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,1.9614563,8.022156,6.165344,-0.20869446,0.067840576,0.009475708,10.60752876,76.13738339,0.34
