TIME,Mills,Ax,Ay,Az,Gx,Gy,Gz,Lat,Lon,Speed,Class
19-02-2019 6.28,1550000000000.0,2.8281555,6.911239599999999,7.441452000000001,0.09384155,-0.10580444,0.15541077,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-0.23162842,7.0572815,4.757553,0.10235596,0.20100403,0.012664795,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,1.5472565,5.4483795,9.189209,-0.06594849,-0.06958008,0.07232666,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,1.6502075,5.115585299999999,8.832474000000001,0.00328064,0.065704346,0.014801025,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,1.8297729999999999,5.857787999999999,9.459763,0.10128784,0.14027405,0.004150391,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,2.6198577999999997,7.3805084,4.2810974,0.20568848,0.08381653,0.10960388,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-0.08798218,2.7094116,17.082901,-0.049972534000000006,0.18501282,0.05847168,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,4.8249207,4.959961,13.731017999999999,0.355896,-0.09088135,0.20547485,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-0.5141449,7.279953,2.41362,0.5465698,0.5109863,0.12771606,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,3.6038818,6.997436500000001,7.300186,-0.07234192,-0.2006073,0.12452698,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-1.4024048,0.3391571,9.802124000000001,-0.11921692,0.1477356,-0.05230713,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,1.8776549999999999,9.468246,4.6282654,0.6051635999999999,-0.058929443,0.14901733,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,0.5201416,2.252121,13.800445999999999,-0.0158844,0.03907776,0.102142334,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-0.26275635,7.064468400000001,4.9921722,0.41235352,0.16584778,-0.003311157,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,2.7299957000000004,0.42295837,16.888962,-0.08938599,-0.007797241,0.040359497,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,2.9933472,10.840117999999999,0.35461426,0.91941833,0.30859375,-0.002243042,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,1.0085601999999998,1.4093628,16.110854999999997,-0.20550537,0.4076538,-0.06829834,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,6.127365,10.931107,6.6489716,0.5913086,-0.08236694,-0.01928711,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,0.11791992,2.9248962000000005,10.259414999999999,-0.38340759999999996,0.7048645,-0.17481995,10.60707003,76.13710629,8.14,0
19-02-2019 6.28,1550000000000.0,6.730697599999999,14.474518,-1.8743896,0.68185425,-0.13136292,0.0914917,10.60707003,76.13710629,8.14,0
19-02-2019 6.28,1550000000000.0,-2.6258392,-1.0973663,17.030228,-0.7860718000000001,0.58343506,-0.15777588,10.60707003,76.13710629,8.14,0
19-02-2019 6.28,1550000000000.0,8.107376,10.971802,5.8085938,0.8065033,-0.32524109999999995,0.20867919999999998,10.60707003,76.13710629,8.14,0
19-02-2019 6.28,1550000000000.0,-2.6282349,4.608017,8.080703999999999,-0.0041656490000000004,0.7485504,-0.037399292,10.60707003,76.13710629,8.14,0
19-02-2019 6.28,1550000000000.0,5.507263,7.1291199999999995,8.672073,0.049087524,-0.36785890000000004,0.07658386,10.60707003,76.13710629,8.14,0
19-02-2019 6.28,1550000000000.0,-3.550003,3.9663696,9.771011,-0.22468567,0.43536377,-0.12687683,10.60707003,76.13710629,8.14,0
19-02-2019 6.28,1550000000000.0,4.9302673,10.241577000000001,3.7783203000000003,0.47093199999999996,-0.24002075,0.17245483,10.60707003,76.13710629,8.14,0
19-02-2019 6.28,1550000000000.0,-2.8748322,2.575348,12.311249,-0.08406067,0.29048157,-0.022491455,10.60707003,76.13710629,8.14,0
19-02-2019 6.28,1550000000000.0,2.5839386,6.662246700000001,8.207596,0.37612915,-0.13775635,0.03717041,10.60707003,76.13710629,8.14,0
19-02-2019 6.28,1550000000000.0,-0.24360657,5.8673706,7.417511,0.21954346,0.21484375,-0.038467407,10.60707003,76.13710629,8.14,0
19-02-2019 6.28,1550000000000.0,0.98461914,8.726044,5.1118927,0.18331909,0.020965576,-0.114105225,10.60707003,76.13710629,8.14,0
19-02-2019 6.28,1550000000000.0,-1.2371979,2.5777283,12.471664,-0.30670166,0.063583374,-0.17163086,10.60707003,76.13710629,8.14,0
19-02-2019 6.28,1550000000000.0,2.8161774,9.839355,5.4877777000000005,0.5305939000000001,-0.024841309,-0.01184082,10.60707003,76.13710629,8.14,0
19-02-2019 6.28,1550000000000.0,-1.9195557,4.900116000000001,7.4198914,-0.03186035,0.2691803,-0.07041931,10.60707003,76.13710629,8.14,0
