TIME,Mills,Ax,Ay,Az,Gx,Gy,Gz,Lat,Lon,Speed,Class
22-02-2019 4.47,1550000000000.0,-0.8996124,6.731674000000001,9.70636,0.5539398,-0.011657715,-0.02406311,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,1.0540466,3.3462677000000003,13.747772,-0.15446472,-0.12776184,-0.02192688,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-1.5652008,6.41803,10.367157,0.39733887,0.10765076,-0.003814697,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,2.0787659,3.0350342,16.611237,-0.123565674,-0.21725464,-0.01020813,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-2.482193,7.3541718,3.5149536,0.6551361,0.21525574,-0.067733765,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,4.0539856,2.62323,10.910645,-0.29933167,-0.35360718,-0.005950928,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-3.8205413999999998,5.5465393,5.9450684,0.2237091,0.26106262,-0.13165283,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,5.418686,7.8641357,4.302643,0.14060974,-0.38237,0.039855957000000004,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-1.7184296000000001,5.5178223,8.707977,-0.14700317,0.33242798,-0.16999817,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,3.759491,7.591186500000001,9.533980999999999,-0.067108154,-0.21405029999999997,0.006835938000000001,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,0.3070526,5.6207733,8.358429,-0.17576599,0.33668518,-0.10928345,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,1.8776549999999999,5.4124756,9.17485,-0.052200317,-0.03614807,-0.061340332000000004,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,1.8321686000000001,12.250305,-0.65335083,0.09907532,0.13854979999999997,-0.08052063,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-0.047286987,3.8227233999999997,9.976913,-0.651947,0.039474487,-0.11566162,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,2.5983124,12.221573,-1.1848602,0.014907837,-0.03189087,-0.041107178,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-1.2180481,7.351775999999999,3.2420197,-0.39840698,0.14173889,-0.14549255,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,2.387619,7.2224884000000005,10.5108185,-0.2982788,-0.21192932,-0.07624817,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-1.8572998,5.1131897,3.6514282,0.0234375,0.24720764,-0.10394287,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,0.15861511,4.909683,8.968948,0.1725769,-0.1671753,-0.05494690000000001,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-1.5269012,1.0310822,16.467589999999998,-0.26737976,-0.013778687,-0.09436035,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-2.8413086,6.5832367,5.6817017,0.60614014,-0.070236206,0.00151062,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,0.6661835,1.2633208999999999,17.21936,-0.32383728,-0.30673218,-0.09861755,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-4.2323455999999995,6.3845215,3.4191895,0.6402283000000001,0.027755737000000003,-0.07838439999999999,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,1.5568389999999999,-0.010391235,12.452515,-0.32809448,-0.37809753,0.070755005,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-4.522049,10.861678999999999,-0.12663269,0.51878357,0.053329468,-0.013397217,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,1.4131775,6.090027,8.643341,-0.44207764,-0.34295654,0.07182312,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-3.2507172000000004,6.6861877000000005,7.036819500000001,-0.15126038,-0.03189087,-0.08370972,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-0.46148682,6.046936,9.907471000000001,-0.12677002,-0.25559998,-0.17106628,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-2.786255,7.670196499999999,5.4327087,-0.06817627,-0.12243652,-0.15509033,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-0.31063843,4.390152,9.940994,-0.3259735,-0.25346375,-0.11672974,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-2.8916016,10.935898,2.1119537,-0.039413452,-0.16931152,-0.14337158,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-1.8620911,3.9927062999999996,13.101334,-0.5784302,-0.28222656,-0.027252197000000002,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-1.3377533000000001,11.661331,-1.6086426,0.08628845,-0.32270813,0.016418457,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-3.2052307,5.395706,3.9530945,-0.5272979999999999,-0.15119934,-0.08370972,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,0.6063385,10.725204,5.746353,-0.5049286000000001,-0.497406,0.029205322000000002,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-4.4454346,6.204956,6.653747599999999,-0.255661,0.07356262,-0.06985474,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-0.3537445,13.330093,-0.3253479,0.008529663,-0.5378876,0.07394409,10.60212239,76.11342096,0.0,0
