TIME,Mills,Ax,Ay,Az,Gx,Gy,Gz,Lat,Lon,Speed
19-02-2019 11.27,1.55056E+12,-0.56204224,6.3174744,7.2929993,0.035247803,-0.01737976,-0.13114929,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.581192,5.6063995,8.008865,-0.046783447,-0.005661011,-0.076812744,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.38008118,6.652664,7.4797516,0.016067505,-0.012054443,-0.05657959,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.3728943,5.9487762,8.042389,-0.02760315,-0.007797241,-0.060836792,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.22685242,6.868149,8.123795,-0.005233765,-0.022705078,-0.06616211,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.3537445,6.224106,7.4438477,0.027786255,-0.019515991,-0.12049866,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.23641968,6.9974365,6.6681213,0.02671814,-0.057861328,-0.17695618,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.32261658,6.24086,7.053589,-9.77E-04,-0.051467896,-0.25578308,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.32980347,6.769989,6.361664,0.043762207,-0.084487915,-0.31010437,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.47824097,5.8051147,7.6569214,-0.032928467,-0.09194946,-0.40385437,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.3944397,6.513809,6.598694,0.03843689,-0.11857605,-0.4187622,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.61231995,5.7093506,8.724731,-0.0627594,-0.11112976,-0.44433594,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.9929962,6.9136353,6.6657257,0.084243774,-0.11325073,-0.4421997,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.6434326,6.37973,8.226746,-0.020141602,-0.14201355,-0.4091797,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.87327576,6.3725433,7.3600464,0.09916687,-0.11752319,-0.3857422,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.854126,6.968704,7.721573,0.072525024,-0.13775635,-0.3164978,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.57640076,6.054123,7.8867645,0.11193848,-0.12922668,-0.28240967,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.93792725,7.107559,6.2371674,0.13111877,-0.12071228,-0.21104431,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.8756714,6.9112396,8.782196,0.011810303,-0.11752319,-0.14924622,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.68414307,7.1746063,6.136612,0.1407013,-0.11538696,-0.040603638,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-1.2707214,6.8466034,6.371231,-0.021209717,-0.08555603,0.05847168,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-1.20607,6.0062256,9.318497,-0.058502197,-0.05999756,0.22465515,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-1.2108612,8.141861,4.9730225,0.072525024,-0.056793213,0.2821808,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.46148682,6.87294,5.6960754,-0.057434082,-0.04827881,0.41853333,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-1.3377533,6.31987,9.447784,0.00541687,0.004989624,0.49417114,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.6218872,6.9303894,8.794174,0.029922485,-0.018447876,0.53570557,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.11911011,6.087631,7.276245,0.09170532,0.027359009,0.62306213,10.62099394,76.14430236,0
